bidx	ep	loss_act_b	loss_reg_b	loss_actor_b	loss_critic_b	loss_all
0	13	0.010431040078401566	0.03083028830587864	-1.0569456815719604	1.353455662727356	0.33777129650115967
1	13	0.015638628974556923	0.0330616757273674	-0.6760014295578003	0.9668421149253845	0.3395410180091858
2	13	0.013293812982738018	0.02779499813914299	-1.1215394735336304	0.7873002290725708	-0.2931504249572754
3	13	0.015350516885519028	0.02403154782950878	-1.0814793109893799	0.7280347347259521	-0.3140624761581421
4	13	0.013583734631538391	0.020664116367697716	-1.0581728219985962	1.2735730409622192	0.2496480941772461
5	13	0.012186050415039062	0.01908751204609871	-0.9317076802253723	0.8608166575431824	-0.03961747884750366
6	13	0.014765607193112373	0.0168965645134449	-0.995108962059021	0.8493061065673828	-0.11414068937301636
7	13	0.011383830569684505	0.014202830381691456	-0.8293313980102539	0.7240662574768066	-0.079678475856781
8	13	0.010670091956853867	0.012920012697577477	-0.8458790183067322	0.6604964137077332	-0.16179251670837402
9	13	0.010588988661766052	0.013906712643802166	-0.8500241041183472	0.7801554203033447	-0.045372962951660156
10	13	0.012693741358816624	0.014968077652156353	-1.4233733415603638	0.5527767539024353	-0.842934787273407
11	13	0.013183999806642532	0.01563781313598156	-2.4749302864074707	0.8408331871032715	-1.6052753925323486
12	13	0.01009808387607336	0.013549202121794224	-1.1724497079849243	1.101715087890625	-0.04708731174468994
13	13	0.09980904310941696	0.01745612546801567	-0.21913255751132965	0.7115500569343567	0.6096826791763306
14	13	0.018299272283911705	0.012853074818849564	0.5827855467796326	0.9360786080360413	1.5500165224075317
15	13	0.02261369489133358	0.013706004247069359	-1.2664800882339478	0.6841869354248047	-0.5459734201431274
0	14	0.011620969511568546	0.009718184359371662	-0.9567738175392151	1.396917462348938	0.46148282289505005
1	14	0.013631200417876244	0.011313453316688538	-1.8768925666809082	0.8573247790336609	-0.9946231245994568
2	14	0.030004946514964104	0.012707946822047234	-0.6760022044181824	0.7685303092002869	0.13524097204208374
3	14	0.0439506433904171	0.013481991365551949	0.5080816745758057	1.0290948152542114	1.5946091413497925
4	14	0.022991210222244263	0.013652785681188107	1.930698275566101	0.8432823419570923	2.810624599456787
5	14	0.01181137003004551	0.012344096787273884	0.745620608329773	0.7352893948554993	1.5050654411315918
6	14	0.034996725618839264	0.015073759481310844	-1.8579411506652832	0.8433343172073364	-0.9645363092422485
